f1_train,f1_val,acc_train,acc_val,loss_train,loss_val,num_epoch
"[0.0, 0.0, 0.5142857142857142, 0.7708333333333334, 0.7676767676767676, 0.7346938775510204, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76, 0.76]","[0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.3870967741935484, 0.3709677419354839, 0.45161290322580644, 0.6451612903225806, 0.6290322580645161, 0.5806451612903226, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516, 0.6129032258064516]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6945623159408569, 0.6937147378921509, 0.6921982169151306, 0.6890612840652466, 0.6911202669143677, 0.6873920559883118, 0.6897322535514832, 0.6911860108375549, 0.6909188032150269, 0.690188467502594, 0.6901944279670715, 0.68586665391922, 0.6860567927360535, 0.6836884617805481, 0.6907669901847839, 0.6893514394760132, 0.6771769523620605, 0.6909810304641724, 0.6952482461929321, 0.6786628365516663, 0.6858571767807007, 0.6818236112594604, 0.6864210367202759, 0.676060140132904, 0.6933178305625916, 0.6726112961769104, 0.6962994933128357, 0.6843104362487793, 0.6926979422569275, 0.6770853996276855, 0.682614266872406, 0.6744053959846497, 0.6939387321472168, 0.6831855773925781, 0.6856369972229004, 0.6803495287895203, 0.6873081922531128, 0.6914995908737183, 0.6795601844787598, 0.6884868741035461, 0.6908525824546814, 0.6789639592170715, 0.6503678560256958, 0.6766560673713684, 0.661747932434082, 0.685318112373352, 0.6786819100379944, 0.6774810552597046, 0.6652618646621704, 0.6740080714225769]","[0.6928851008415222, 0.6927100419998169, 0.6926661729812622, 0.6926733255386353, 0.6926946640014648, 0.6927365064620972, 0.6927884817123413, 0.6929275989532471, 0.6930874586105347, 0.6932903528213501, 0.6935423016548157, 0.6939926147460938, 0.694438636302948, 0.6952848434448242, 0.6961265802383423, 0.6971408128738403, 0.6984951496124268, 0.7003525495529175, 0.7016804218292236, 0.7033089995384216, 0.7043635249137878, 0.7052778005599976, 0.7058732509613037, 0.7073195576667786, 0.7083820700645447, 0.7083759903907776, 0.709949254989624, 0.7093139290809631, 0.7099384665489197, 0.7107841968536377, 0.7105240225791931, 0.7114985585212708, 0.7110481858253479, 0.7111037969589233, 0.7107691764831543, 0.7112746238708496, 0.7110574245452881, 0.7105079889297485, 0.7110661268234253, 0.7125025987625122, 0.7118902802467346, 0.7107015252113342, 0.7117120027542114, 0.711833655834198, 0.7122398018836975, 0.7121725678443909, 0.7113905549049377, 0.7102907299995422, 0.7121340036392212, 0.7128101587295532]",50
"[0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961, 0.7843137254901961]","[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]","[0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806, 0.6451612903225806]","[0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375]","[0.675111711025238, 0.6724260449409485, 0.6729080080986023, 0.6704652905464172, 0.6713882684707642, 0.6700758934020996, 0.6686859726905823, 0.6697202920913696, 0.6664082407951355, 0.6667475700378418, 0.6661702394485474, 0.6657503247261047, 0.661655843257904, 0.6627642512321472, 0.6551744341850281, 0.6579148173332214, 0.6604518294334412, 0.6525226831436157, 0.6527311205863953, 0.6481965184211731, 0.6465229988098145, 0.6460739970207214, 0.6450061798095703, 0.6396274566650391, 0.6572465896606445, 0.6459978222846985, 0.6447351574897766, 0.6491076350212097, 0.6424287557601929, 0.6466727256774902, 0.6558262705802917, 0.6506057977676392, 0.6353954672813416, 0.6371045708656311, 0.6279883980751038, 0.6623714566230774, 0.6575250625610352, 0.6587806344032288, 0.6225519180297852, 0.64238041639328, 0.6427607536315918, 0.6416263580322266, 0.6408044099807739, 0.6393281817436218, 0.6294799447059631, 0.654353678226471, 0.6498908400535583, 0.6508470177650452, 0.6451651453971863, 0.6354108452796936]","[0.714621365070343, 0.7160309553146362, 0.7174491882324219, 0.718867838382721, 0.7202719449996948, 0.721572995185852, 0.7228865623474121, 0.7243103981018066, 0.7261490225791931, 0.7280698418617249, 0.7298910617828369, 0.732133150100708, 0.734649121761322, 0.7377361059188843, 0.7413725256919861, 0.7450771331787109, 0.7498769164085388, 0.7533039450645447, 0.7590935826301575, 0.7641466856002808, 0.769231379032135, 0.774890661239624, 0.7792680859565735, 0.7809819579124451, 0.7819241285324097, 0.7831111550331116, 0.7861496806144714, 0.7890121340751648, 0.7942778468132019, 0.793201208114624, 0.7955146431922913, 0.7950855493545532, 0.7975701689720154, 0.7993687987327576, 0.8043367862701416, 0.8064231872558594, 0.8034057021141052, 0.8023965954780579, 0.8032558560371399, 0.8024309873580933, 0.7998018860816956, 0.8039816617965698, 0.8021969199180603, 0.8037434220314026, 0.8001279234886169, 0.7957653999328613, 0.7969077229499817, 0.7986494302749634, 0.79737389087677, 0.7938200235366821]",50
"[0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7474747474747475, 0.7578947368421053, 0.7789473684210526, 0.7912087912087912, 0.8045977011494253, 0.7816091954022989, 0.7764705882352941, 0.7951807228915663, 0.8235294117647058, 0.75, 0.8235294117647058, 0.7435897435897436, 0.7560975609756098, 0.7901234567901234, 0.8192771084337349, 0.8095238095238095, 0.8148148148148148]","[0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.6086956521739131, 0.6086956521739131, 0.5714285714285714, 0.5714285714285714, 0.6, 0.5714285714285714, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.6086956521739131, 0.5454545454545454, 0.5714285714285714]","[0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.6290322580645161, 0.6612903225806451, 0.6935483870967742, 0.7258064516129032, 0.6935483870967742, 0.6935483870967742, 0.7258064516129032, 0.7580645161290323, 0.6774193548387096, 0.7580645161290323, 0.6774193548387096, 0.6774193548387096, 0.7258064516129032, 0.7580645161290323, 0.7419354838709677, 0.7580645161290323]","[0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.4375, 0.4375, 0.4375, 0.4375, 0.5, 0.4375, 0.4375, 0.4375, 0.4375, 0.4375, 0.4375, 0.4375, 0.4375, 0.4375, 0.375, 0.4375]","[0.6920971274375916, 0.6884125471115112, 0.6921148300170898, 0.6874551773071289, 0.6901487112045288, 0.6881293654441833, 0.6884342432022095, 0.6877570748329163, 0.6855824589729309, 0.6830391883850098, 0.68238365650177, 0.6843312382698059, 0.6796227693557739, 0.6801543831825256, 0.6769656538963318, 0.6718311309814453, 0.67937833070755, 0.6715065240859985, 0.6660140156745911, 0.670613706111908, 0.6771925687789917, 0.6755719780921936, 0.6671701073646545, 0.6686131358146667, 0.6813353896141052, 0.6747099161148071, 0.6733260750770569, 0.6622245907783508, 0.6616719365119934, 0.6646600961685181, 0.6613436341285706, 0.6487839818000793, 0.6421129107475281, 0.6417866349220276, 0.6254879236221313, 0.6155972480773926, 0.598088800907135, 0.5646107792854309, 0.5609977841377258, 0.5257009863853455, 0.5319963097572327, 0.5914416909217834, 0.6501092314720154, 0.5503682494163513, 0.6620048880577087, 0.5948184728622437, 0.572718620300293, 0.5393930077552795, 0.49176305532455444, 0.45145338773727417]","[0.6913330554962158, 0.6910120248794556, 0.6906460523605347, 0.6902536749839783, 0.6899060606956482, 0.6895856857299805, 0.6892842054367065, 0.6890428066253662, 0.6887335181236267, 0.6884486079216003, 0.688247799873352, 0.6883527636528015, 0.6884534358978271, 0.6887048482894897, 0.6888594627380371, 0.6893503069877625, 0.690048336982727, 0.6906430125236511, 0.6913353204727173, 0.6924569010734558, 0.6929828524589539, 0.6930332183837891, 0.6930041909217834, 0.6934865713119507, 0.6937541961669922, 0.6935529708862305, 0.6936821341514587, 0.6939828395843506, 0.6934570670127869, 0.6942154765129089, 0.6957805156707764, 0.6950915455818176, 0.6967614889144897, 0.6985495090484619, 0.7011227607727051, 0.7049823999404907, 0.7091297507286072, 0.7137484550476074, 0.7184006571769714, 0.72320556640625, 0.7504211068153381, 0.7715839147567749, 0.7749215960502625, 0.7835313677787781, 0.78337162733078, 0.7882335186004639, 0.7964069843292236, 0.7985051870346069, 0.8048508763313293, 0.8063506484031677]",50
"[0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273]","[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]","[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.6916783452033997, 0.692260205745697, 0.6909980773925781, 0.6912516355514526, 0.6912787556648254, 0.6910056471824646, 0.6908391714096069, 0.6910026669502258, 0.6906000971794128, 0.6904591917991638, 0.6909287571907043, 0.6904756426811218, 0.690914511680603, 0.6908214688301086, 0.6905063390731812, 0.6901969313621521, 0.6903196573257446, 0.6905051469802856, 0.6900722980499268, 0.6915026307106018, 0.6900553107261658, 0.6909786462783813, 0.6903182864189148, 0.6890742778778076, 0.6893502473831177, 0.6893952488899231, 0.690394937992096, 0.6908133625984192, 0.6909227967262268, 0.6896106600761414, 0.6891019940376282, 0.6876699924468994, 0.6896833777427673, 0.6885753870010376, 0.6883944272994995, 0.6889685392379761, 0.6905196309089661, 0.6886178255081177, 0.6869735717773438, 0.690129816532135, 0.6883088946342468, 0.6899915337562561, 0.6885574460029602, 0.6889380216598511, 0.6814242005348206, 0.6892579793930054, 0.689728319644928, 0.6872603297233582, 0.6901054382324219, 0.6922680139541626]","[0.6809964776039124, 0.6804565191268921, 0.6798955798149109, 0.6794098019599915, 0.6789512634277344, 0.6785169839859009, 0.678135097026825, 0.6777415871620178, 0.677326500415802, 0.6769389510154724, 0.6765487194061279, 0.6761354804039001, 0.6757150292396545, 0.6752763986587524, 0.6748526096343994, 0.6743742823600769, 0.673939049243927, 0.6735823154449463, 0.6732228398323059, 0.6727245450019836, 0.6722984313964844, 0.6719047427177429, 0.6715858578681946, 0.6712453961372375, 0.6707990169525146, 0.6703121662139893, 0.6699268221855164, 0.6694715619087219, 0.6691741347312927, 0.668720006942749, 0.6682755351066589, 0.6677769422531128, 0.667113721370697, 0.666779637336731, 0.6663509607315063, 0.6658366322517395, 0.6651719808578491, 0.6648460626602173, 0.6642780303955078, 0.663863480091095, 0.6634405255317688, 0.6630086302757263, 0.6623903512954712, 0.6617380380630493, 0.660621702671051, 0.660040557384491, 0.660068929195404, 0.6595337390899658, 0.6592171788215637, 0.6588655710220337]",50
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2926829268292683, 0.391304347826087, 0.49056603773584906, 0.49230769230769234, 0.6133333333333333, 0.6197183098591549, 0.6588235294117647, 0.5813953488372093, 0.6896551724137931, 0.6739130434782609, 0.6881720430107527, 0.6947368421052632, 0.6736842105263158, 0.6875, 0.6808510638297872, 0.6875, 0.6875, 0.6736842105263158, 0.6875, 0.6947368421052632, 0.6875, 0.6736842105263158, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6875, 0.6947368421052632, 0.6947368421052632, 0.6947368421052632, 0.7096774193548387, 0.7096774193548387, 0.7272727272727273, 0.7209302325581395, 0.6966292134831461, 0.691358024691358]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26666666666666666, 0.23529411764705882, 0.6363636363636364, 0.6363636363636364, 0.8, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8461538461538461, 0.8]","[0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.5396825396825397, 0.5555555555555556, 0.5714285714285714, 0.47619047619047616, 0.5396825396825397, 0.5714285714285714, 0.5396825396825397, 0.42857142857142855, 0.5714285714285714, 0.5238095238095238, 0.5396825396825397, 0.5396825396825397, 0.5079365079365079, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5079365079365079, 0.5238095238095238, 0.5396825396825397, 0.5238095238095238, 0.5079365079365079, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5238095238095238, 0.5396825396825397, 0.5396825396825397, 0.5396825396825397, 0.5714285714285714, 0.5714285714285714, 0.6190476190476191, 0.6190476190476191, 0.5714285714285714, 0.6031746031746031]","[0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.13333333333333333, 0.4666666666666667, 0.4666666666666667, 0.6666666666666666, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8, 0.8, 0.8, 0.8, 0.8, 0.7333333333333333, 0.6666666666666666]","[0.6925112009048462, 0.6925208568572998, 0.692477822303772, 0.69328773021698, 0.691963255405426, 0.6933128237724304, 0.6923057436943054, 0.6919737458229065, 0.6937311887741089, 0.6934769153594971, 0.6928666830062866, 0.691396176815033, 0.6943551898002625, 0.692560076713562, 0.6953672170639038, 0.6934733986854553, 0.6929692625999451, 0.6945317387580872, 0.6922008991241455, 0.6924079656600952, 0.6909434795379639, 0.6927472352981567, 0.6928366422653198, 0.6923906207084656, 0.6953052878379822, 0.6951732039451599, 0.6956555247306824, 0.6914405822753906, 0.6937398314476013, 0.6924291849136353, 0.6929541826248169, 0.6922441124916077, 0.6930619478225708, 0.6880826950073242, 0.6896725296974182, 0.6916896104812622, 0.6921128630638123, 0.6919374465942383, 0.6870508790016174, 0.6908066868782043, 0.6921020150184631, 0.6850742697715759, 0.6866870522499084, 0.6833632588386536, 0.6845735907554626, 0.6780741214752197, 0.6811171174049377, 0.6704730987548828, 0.6684510707855225, 0.655269205570221]","[0.7025502324104309, 0.7011508345603943, 0.6999866962432861, 0.6988484263420105, 0.6976414918899536, 0.6966354846954346, 0.6957329511642456, 0.6945837140083313, 0.6934589147567749, 0.6927154660224915, 0.6915051341056824, 0.6901080012321472, 0.6894634962081909, 0.6883440613746643, 0.687616229057312, 0.686852753162384, 0.6855756044387817, 0.6847199201583862, 0.6839972734451294, 0.6827656030654907, 0.6817878484725952, 0.6808784008026123, 0.6803178191184998, 0.6788389086723328, 0.6775597333908081, 0.6773664951324463, 0.6771617531776428, 0.6762306094169617, 0.6761713027954102, 0.6755592823028564, 0.6742294430732727, 0.6739825010299683, 0.6741504073143005, 0.672515332698822, 0.6716894507408142, 0.6703627705574036, 0.6684654355049133, 0.6688634753227234, 0.665762722492218, 0.6655830144882202, 0.6652629971504211, 0.6633585691452026, 0.659818708896637, 0.6608400344848633, 0.6611035466194153, 0.6607497334480286, 0.6665595769882202, 0.6612817645072937, 0.6625207662582397, 0.6640973687171936]",50
